asof_date,rooms
2024-04-16,10530
2024-04-17,10566
2024-04-18,10468
2024-04-19,10442
2024-04-20,10451
2024-04-21,10398
2024-04-22,10323
2024-04-23,10329
2024-04-24,10373
2024-04-25,10368
2024-04-26,10479
2024-04-27,10503
2024-04-28,10450
2024-04-29,10375
2024-04-30,10391
2024-05-01,10385
2024-05-02,10391
2024-05-03,10341
2024-05-04,10440
2024-05-05,10379
2024-05-06,10288
2024-05-07,10245
2024-05-08,10365
2024-05-09,10351
2024-05-10,10370
2024-05-11,10487
2024-05-12,10408
2024-05-13,10305
2024-05-14,10345
2024-05-15,10499
2024-05-16,10555
2024-05-17,10626
2024-05-18,10600
2024-05-19,10530
2024-05-20,10513
2024-05-21,10637
2024-05-22,10618
2024-05-23,10592
2024-05-24,10580
2024-05-25,10642
2024-05-26,10545
2024-05-27,10415
2024-05-28,10438
2024-05-29,10511
2024-05-30,10566
2024-05-31,10653
2024-06-01,10670
2024-06-02,10623
2024-06-03,10525
2024-06-04,10527
2024-06-05,10503
2024-06-06,10646
2024-06-07,10481
2024-06-08,10855
2024-06-09,10797
2024-06-10,10695
2024-06-11,10710
2024-06-12,10678
2024-06-13,10782
2024-06-14,10821
2024-06-15,10817
2024-06-16,10730
2024-06-17,10662
2024-06-18,10725
2024-06-19,10684
2024-06-20,10698
2024-06-21,10698
2024-06-22,10822
2024-06-23,10808
2024-06-24,10693
2024-06-25,10712
2024-06-26,10674
2024-06-27,10801
2024-06-28,10803
2024-06-29,10826
2024-06-30,10755
2024-07-01,10704
2024-07-02,10694
2024-07-03,10726
2024-07-04,10825
2024-07-05,10838
2024-07-06,10794
2024-07-07,10761
2024-07-08,10650
2024-07-09,10666
2024-07-10,10625
2024-07-11,10548
2024-07-12,10496
2024-07-13,10431
2024-07-14,10356
2024-07-15,10272
2024-07-16,10244
2024-07-17,10242
2024-07-18,10270
2024-07-19,10304
2024-07-20,10371
2024-07-21,10281
2024-07-22,10233
2024-07-23,10291
2024-07-24,10408
2024-07-25,10393
2024-07-26,10377
2024-07-27,10369
2024-07-28,10296
2024-07-29,10269
2024-07-30,10331
2024-07-31,10380
2024-08-01,10347
2024-08-02,10483
2024-08-03,10561
2024-08-04,10468
2024-08-05,10341
2024-08-06,10429
2024-08-07,10319
2024-08-08,10249
